Year,Locality,Suburb,State,Postcode,Employed,Unemployed
2016,Birriwa NSW 2844,Birriwa,NSW,2844,11,3
2016,Birrong NSW 2143,Birrong,NSW,2143,1220,129
2016,Bishops Bridge NSW 2326,Bishops Bridge,NSW,2326,119,7
2016,Bithramere NSW 2340,Bithramere,NSW,2340,93,0
2016,Black Creek (Port Macquarie-Hastings - NSW) NSW 2729,Black Creek,NSW,2729,18,0
2016,Black Creek (Snowy Valleys - NSW) NSW 2729,Black Creek,NSW,2729,4,0
2016,Black Head NSW 2430,Black Head,NSW,2430,262,19
2016,Black Hill (NSW) NSW 2322,Black Hill,NSW,2322,254,7
2016,Black Hollow NSW 2828,Black Hollow,NSW,2828,12,0
2016,Black Mountain (NSW) NSW 2365,Black Mountain,NSW,2365,147,3
2016,Black Range (NSW) NSW 2550,Black Range,NSW,2550,99,0
2016,Black Springs (NSW) NSW 2787,Black Springs,NSW,2787,78,4
2016,Blackalls Park NSW 2283,Blackalls Park,NSW,2283,1162,93
2016,Blackbutt (NSW) NSW 2529,Blackbutt,NSW,2529,1566,113
2016,Blackett NSW 2770,Blackett,NSW,2770,1008,133
2016,Blackheath NSW 2785,Blackheath,NSW,2785,1836,102
2016,Blackmans Flat NSW 2790,Blackmans Flat,NSW,2790,7,0
2016,Blackmans Point NSW 2444,Blackmans Point,NSW,2444,57,0
2016,Blacksmiths NSW 2281,Blacksmiths,NSW,2281,745,63
2016,Blacktown NSW 2148,Blacktown,NSW,2148,20939,1849
2016,Blackville NSW 2343,Blackville,NSW,2343,39,0
2016,Blackwall (NSW) NSW 2256,Blackwall,NSW,2256,771,70
2016,Blair Athol (NSW) NSW 2560,Blair Athol,NSW,2560,1469,111
2016,Blairmount NSW 2559,Blairmount,NSW,2559,191,10
2016,Blakebrook NSW 2480,Blakebrook,NSW,2480,63,4
2016,Blakehurst NSW 2221,Blakehurst,NSW,2221,2873,141
2016,Blakney Creek NSW 2581,Blakney Creek,NSW,2581,36,0
2016,Bland NSW 2721,Bland,NSW,2721,26,0
2016,Blandford NSW 2338,Blandford,NSW,2338,102,4
